LOCATION;"Country";"INDICATOR";"Indicator";"MEASURE";"Measure";"INEQUALITY";"Inequality";"Unit Code";"Unit";"PowerCode Code";"PowerCode";"Reference Period Code";"Reference Period";"Value";"Flag Codes";"Flags"
FRA;"France";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;29759;"E";"Estimated value"
DEU;"Germany";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;31925;"E";"Estimated value"
GRC;"Greece";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;18099;"E";"Estimated value"
HUN;"Hungary";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;15614;"E";"Estimated value"
ISL;"Iceland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;27918;"E";"Estimated value"
IRL;"Ireland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;22969;"E";"Estimated value"
ITA;"Italy";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;25004;"E";"Estimated value"
JPN;"Japan";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;27323;"E";"Estimated value"
KOR;"Korea";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;19372;"E";"Estimated value"
LUX;"Luxembourg";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;40914;"E";"Estimated value"
MEX;"Mexico";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;12806;"E";"Estimated value"
NLD;"Netherlands";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;27759;"E";"Estimated value"
NZL;"New Zealand";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;23213;"E";"Estimated value"
NOR;"Norway";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;33393;"E";"Estimated value"
POL;"Poland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;17820;"E";"Estimated value"
PRT;"Portugal";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;19882;"E";"Estimated value"
SVK;"Slovak Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;18534;"E";"Estimated value"
ESP;"Spain";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;22007;"E";"Estimated value"
SWE;"Sweden";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;28859;"E";"Estimated value"
CHE;"Switzerland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;35952;"E";"Estimated value"
TUR;"Turkey";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;13471;"E";"Estimated value"
GBR;"United Kingdom";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;26687;"E";"Estimated value"
USA;"United States";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;41071;"E";"Estimated value"
BRA;"Brazil";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;11487;"E";"Estimated value"
CHL;"Chile";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;15094;"E";"Estimated value"
EST;"Estonia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;16565;"E";"Estimated value"
ISR;"Israel";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;22116;"E";"Estimated value"
RUS;"Russia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;17006;"E";"Estimated value"
SVN;"Slovenia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;19130;"E";"Estimated value"
AUS;"Australia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;33138;"E";"Estimated value"
AUT;"Austria";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;31667;"E";"Estimated value"
BEL;"Belgium";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;28700;"E";"Estimated value"
CAN;"Canada";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;30474;"E";"Estimated value"
CZE;"Czech Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;18953;"E";"Estimated value"
DNK;"Denmark";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;26945;"E";"Estimated value"
FIN;"Finland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;28238;"E";"Estimated value"
FRA;"France";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;29759;"E";"Estimated value"
DEU;"Germany";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;31925;"E";"Estimated value"
GRC;"Greece";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;18099;"E";"Estimated value"
HUN;"Hungary";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;15614;"E";"Estimated value"
ISL;"Iceland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;27918;"E";"Estimated value"
IRL;"Ireland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;22969;"E";"Estimated value"
ITA;"Italy";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;25004;"E";"Estimated value"
JPN;"Japan";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;27323;"E";"Estimated value"
KOR;"Korea";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;19372;"E";"Estimated value"
LUX;"Luxembourg";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;40914;"E";"Estimated value"
MEX;"Mexico";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;12806;"E";"Estimated value"
NLD;"Netherlands";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;27759;"E";"Estimated value"
NZL;"New Zealand";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;23213;"E";"Estimated value"
NOR;"Norway";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;33393;"E";"Estimated value"
POL;"Poland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;17820;"E";"Estimated value"
PRT;"Portugal";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;19882;"E";"Estimated value"
SVK;"Slovak Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;18534;"E";"Estimated value"
ESP;"Spain";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;22007;"E";"Estimated value"
SWE;"Sweden";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;28859;"E";"Estimated value"
CHE;"Switzerland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;35952;"E";"Estimated value"
TUR;"Turkey";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;13471;"E";"Estimated value"
GBR;"United Kingdom";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;26687;"E";"Estimated value"
USA;"United States";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;41071;"E";"Estimated value"
BRA;"Brazil";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;11487;"E";"Estimated value"
CHL;"Chile";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;15094;"E";"Estimated value"
EST;"Estonia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;16565;"E";"Estimated value"
ISR;"Israel";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;22116;"E";"Estimated value"
RUS;"Russia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;17006;"E";"Estimated value"
SVN;"Slovenia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"WMN";"Women";"USD";"US Dollar";"0";"units";;;19130;"E";"Estimated value"
AUS;"Australia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;65701;"E";"Estimated value"
AUT;"Austria";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;58141;"E";"Estimated value"
BEL;"Belgium";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;50812;"E";"Estimated value"
CAN;"Canada";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;59677;"E";"Estimated value"
CZE;"Czech Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;33683;"E";"Estimated value"
DNK;"Denmark";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;46768;"E";"Estimated value"
FIN;"Finland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;50145;"E";"Estimated value"
FRA;"France";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;59136;"E";"Estimated value"
DEU;"Germany";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;60859;"E";"Estimated value"
GRC;"Greece";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;35906;"E";"Estimated value"
HUN;"Hungary";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;29026;"E";"Estimated value"
ISL;"Iceland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;48478;"E";"Estimated value"
IRL;"Ireland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;43775;"E";"Estimated value"
ITA;"Italy";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;49147;"E";"Estimated value"
JPN;"Japan";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;54666;"E";"Estimated value"
KOR;"Korea";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;38526;"E";"Estimated value"
LUX;"Luxembourg";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;74593;"E";"Estimated value"
MEX;"Mexico";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;33884;"E";"Estimated value"
NLD;"Netherlands";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;51094;"E";"Estimated value"
NZL;"New Zealand";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;46507;"E";"Estimated value"
NOR;"Norway";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;57284;"E";"Estimated value"
POL;"Poland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;34208;"E";"Estimated value"
PRT;"Portugal";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;41556;"E";"Estimated value"
SVK;"Slovak Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;32509;"E";"Estimated value"
ESP;"Spain";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;44510;"E";"Estimated value"
SWE;"Sweden";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;51854;"E";"Estimated value"
CHE;"Switzerland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;67283;"E";"Estimated value"
TUR;"Turkey";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;31919;"E";"Estimated value"
GBR;"United Kingdom";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;56289;"E";"Estimated value"
USA;"United States";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;91008;"E";"Estimated value"
BRA;"Brazil";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;31906;"E";"Estimated value"
CHL;"Chile";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;42579;"E";"Estimated value"
EST;"Estonia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;32571;"E";"Estimated value"
ISR;"Israel";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;46531;"E";"Estimated value"
RUS;"Russia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;39470;"E";"Estimated value"
SVN;"Slovenia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;32297;"E";"Estimated value"
OECD;"OECD - Total";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"HGH";"High";"USD";"US Dollar";"0";"units";;;60642;"E";"Estimated value"
AUS;"Australia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;12104;"E";"Estimated value"
AUT;"Austria";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;13349;"E";"Estimated value"
BEL;"Belgium";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;12624;"E";"Estimated value"
CAN;"Canada";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;11536;"E";"Estimated value"
CZE;"Czech Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;9221;"E";"Estimated value"
DNK;"Denmark";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;13024;"E";"Estimated value"
FIN;"Finland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;13400;"E";"Estimated value"
FRA;"France";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;12675;"E";"Estimated value"
DEU;"Germany";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;13733;"E";"Estimated value"
GRC;"Greece";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;5710;"E";"Estimated value"
HUN;"Hungary";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;6405;"E";"Estimated value"
ISL;"Iceland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;13532;"E";"Estimated value"
IRL;"Ireland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;9368;"E";"Estimated value"
ITA;"Italy";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;8845;"E";"Estimated value"
JPN;"Japan";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;8834;"E";"Estimated value"
KOR;"Korea";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;6955;"E";"Estimated value"
LUX;"Luxembourg";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;18427;"E";"Estimated value"
MEX;"Mexico";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;2480;"E";"Estimated value"
NLD;"Netherlands";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;12331;"E";"Estimated value"
NZL;"New Zealand";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;8965;"E";"Estimated value"
NOR;"Norway";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;15375;"E";"Estimated value"
POL;"Poland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;7074;"E";"Estimated value"
PRT;"Portugal";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;7180;"E";"Estimated value"
SVK;"Slovak Republic";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;8367;"E";"Estimated value"
ESP;"Spain";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;6648;"E";"Estimated value"
SWE;"Sweden";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;12510;"E";"Estimated value"
CHE;"Switzerland";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;15209;"E";"Estimated value"
TUR;"Turkey";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;3799;"E";"Estimated value"
GBR;"United Kingdom";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;10066;"E";"Estimated value"
USA;"United States";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;11117;"E";"Estimated value"
BRA;"Brazil";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;2347;"E";"Estimated value"
CHL;"Chile";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;3270;"E";"Estimated value"
EST;"Estonia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;5984;"E";"Estimated value"
ISR;"Israel";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;6263;"E";"Estimated value"
RUS;"Russia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;5201;"E";"Estimated value"
SVN;"Slovenia";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;8943;"E";"Estimated value"
OECD;"OECD - Total";"IW_HADI";"Household net adjusted disposable income";"L";"Value";"LW";"Low";"USD";"US Dollar";"0";"units";;;9553;"E";"Estimated value"
AUS;"Australia";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;48836;;
AUT;"Austria";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;55623;;
BEL;"Belgium";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;89057;;
CAN;"Canada";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;75775;;
CZE;"Czech Republic";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;20170;;
DNK;"Denmark";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;54839;;
FIN;"Finland";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;24482;;
FRA;"France";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;53851;;
DEU;"Germany";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;49822;;
GRC;"Greece";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;17568;;
HUN;"Hungary";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;17774;;
ISL;"Iceland";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;54275;"E";"Estimated value"
IRL;"Ireland";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;31861;;
ITA;"Italy";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;56833;;
JPN;"Japan";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;92818;;
KOR;"Korea";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;30852;"E";"Estimated value"
LUX;"Luxembourg";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;64500;;
MEX;"Mexico";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;9856;"E";"Estimated value"
NLD;"Netherlands";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;71251;;
NZL;"New Zealand";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;81271;"E";"Estimated value"
NOR;"Norway";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;16930;;
POL;"Poland";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;12902;;
PRT;"Portugal";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;29563;;
SVK;"Slovak Republic";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;8896;;
ESP;"Spain";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;29819;;
SWE;"Sweden";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;69899;;
CHE;"Switzerland";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;120265;;
TUR;"Turkey";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;3886;;
GBR;"United Kingdom";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;69927;;
USA;"United States";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;163268;;
BRA;"Brazil";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;7566;"E";"Estimated value"
CHL;"Chile";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;18172;;
EST;"Estonia";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;15728;;
ISR;"Israel";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;50051;;
RUS;"Russia";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;3687;"E";"Estimated value"
SVN;"Slovenia";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;17271;;
OECD;"OECD - Total";"IW_HNFW";"Household net financial wealth";"L";"Value";"TOT";"Total";"USD";"US Dollar";"0";"units";;;84547;;
AUS;"Australia";"IW_HNFW";"Household net financial wealth";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;48836;"E";"Estimated value"
AUT;"Austria";"IW_HNFW";"Household net financial wealth";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;55623;"E";"Estimated value"
BEL;"Belgium";"IW_HNFW";"Household net financial wealth";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;89057;"E";"Estimated value"
CAN;"Canada";"IW_HNFW";"Household net financial wealth";"L";"Value";"MN";"Men";"USD";"US Dollar";"0";"units";;;75775;"E";"Estimated value"
